gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
6076-7571,Bilibili Gaming,1,48,21,10,6.9,3,0,3,7,1,8,59907,256,40007
6076-7572,Bilibili Gaming,0,31,18,23,2.130434783,4,1,5,3,0,3,59008,242,36809
6076-7573,Bilibili Gaming,0,6,4,20,0.5,1,0,1,2,0,2,40996,129,19593
6082-7595,Bilibili Gaming,1,27,11,2,19,3,0,3,7,1,8,36655,180,27973
6082-7596,Bilibili Gaming,1,56,17,10,7.3,4,2,6,9,1,10,102077,374,50713
6086-7613,Bilibili Gaming,1,41,21,11,5.636363636,3,1,4,10,3,13,78894,279,42581
6086-7616,Bilibili Gaming,1,33,20,12,4.416666667,2,1,3,11,3,14,55755,196,34982
6205-7819,Bilibili Gaming,0,2,1,14,0.214285714,2,0,2,2,0,2,51822,268,29984
6205-7820,Bilibili Gaming,0,15,6,15,1.4,1,0,1,2,0,2,56256,214,28624
6215-7874,Bilibili Gaming,0,9,5,16,0.875,1,0,1,2,0,2,26169,148,20957
6215-7876,Bilibili Gaming,0,25,13,21,1.80952381,2,0,2,4,0,4,66010,356,38433
6220-7921,Bilibili Gaming,1,52,25,22,3.5,2,2,4,9,2,11,91851,230,44640
6220-7924,Bilibili Gaming,0,7,4,17,0.647058824,0,0,0,1,0,1,49385,187,26171
6220-7926,Bilibili Gaming,1,35,17,6,8.666666667,3,1,4,8,1,9,55267,174,33866
6226-7960,Bilibili Gaming,1,41,15,4,14,2,1,3,9,2,11,59942,228,36049
6226-7962,Bilibili Gaming,0,9,4,17,0.764705882,3,0,3,3,0,3,34837,266,31056
6226-7965,Bilibili Gaming,0,11,5,11,1.454545455,2,0,2,1,0,1,50340,152,23576
6239-8051,Bilibili Gaming,0,5,2,14,0.5,2,0,2,1,0,1,38688,168,23209
6239-8055,Bilibili Gaming,0,14,6,22,0.909090909,1,1,2,2,0,2,38298,224,27300
6250-8148,Bilibili Gaming,1,49,17,4,16.5,4,1,5,9,1,10,56743,266,38151
6250-8149,Bilibili Gaming,1,29,10,4,9.75,2,1,3,7,1,8,60168,271,36073
6593-8269,Bilibili Gaming,1,42,19,11,5.545454545,6,1,7,11,4,15,103221,339,45253
6593-8271,Bilibili Gaming,0,28,11,18,2.166666667,0,0,0,0,0,0,46282,186,24093
6593-8272,Bilibili Gaming,0,18,13,24,1.291666667,2,0,2,3,0,3,60546,279,32128
6596-8297,Bilibili Gaming,1,50,20,8,8.75,4,0,4,9,1,10,77336,314,41573
6596-8301,Bilibili Gaming,0,46,18,17,3.764705882,2,1,3,4,0,4,85796,369,42472
6596-8302,Bilibili Gaming,1,56,23,14,5.642857143,1,1,2,10,2,12,60170,247,38809
6603-8357,Bilibili Gaming,0,12,4,10,1.6,2,0,2,2,0,2,52666,277,32717
6603-8358,Bilibili Gaming,1,53,18,14,5.071428571,3,2,5,7,1,8,100719,402,45650
6603-8359,Bilibili Gaming,0,32,13,22,2.045454545,3,0,3,3,0,3,115111,329,35874
6612-8418,Bilibili Gaming,1,25,12,6,6.166666667,1,0,1,10,2,12,64549,214,36101
6612-8422,Bilibili Gaming,1,30,9,6,6.5,4,0,4,7,1,8,79254,407,46335
6621-8478,Bilibili Gaming,1,42,14,2,28,2,1,3,8,1,9,51017,206,34540
6621-8479,Bilibili Gaming,0,6,5,11,1,0,0,0,2,0,2,62310,258,31899
6621-8486,Bilibili Gaming,0,4,2,27,0.222222222,0,0,0,4,0,4,43126,216,30607
6628-8540,Bilibili Gaming,0,11,4,22,0.681818182,1,0,1,0,0,0,66331,239,26750
6628-8545,Bilibili Gaming,0,51,18,18,3.833333333,4,1,5,7,0,7,86757,332,45893
6632-8572,Bilibili Gaming,1,32,13,7,6.428571429,4,0,4,8,1,9,56150,,37083
6632-8573,Bilibili Gaming,1,47,17,5,12.8,0,1,1,7,1,8,72528,,35456
6641-8632,Bilibili Gaming,0,17,8,14,1.785714286,2,0,2,6,0,6,49940,,39107
6641-8636,Bilibili Gaming,0,4,2,13,0.461538462,1,0,1,0,0,0,54450,,31008
6647-8676,Bilibili Gaming,1,50,17,9,7.444444444,3,0,3,9,1,10,74251,,38791
6647-8677,Bilibili Gaming,0,5,2,17,0.411764706,1,0,1,1,0,1,60196,,27401
6647-8678,Bilibili Gaming,0,32,13,21,2.142857143,3,0,3,6,0,6,104282,,42310
6653-8709,Bilibili Gaming,1,52,20,13,5.538461538,2,2,4,9,1,10,79047,,47133
6653-8714,Bilibili Gaming,1,41,18,11,5.363636364,4,2,6,10,2,12,86213,,50526
66588-71184,Bilibili Gaming,0,33,16,32,1.53125,1,0,1,3,,3,75338,223,37324
66588-71194,Bilibili Gaming,0,23,13,22,1.636363636,1,0,1,3,,3,63923,194,32680
66592-71228,Bilibili Gaming,0,49,23,27,2.666666667,1,0,1,3,,3,111497,308,46351
66592-71232,Bilibili Gaming,1,49,19,4,17,1,1,2,8,,8,51033,183,38911
66592-71236,Bilibili Gaming,0,29,12,22,1.863636364,1,1,2,2,,2,69182,273,40128
6879-9124,Bilibili Gaming,1,81,27,8,13.5,4,2,6,9,1,10,72133,,40717
6883-9131,Bilibili Gaming,1,40,17,17,3.352941176,4,3,7,11,,11,93131,,57739
6889-9136,Bilibili Gaming,1,33,22,6,9.166666667,3,1,4,11,3,14,42829,,35819
6895-9122,Bilibili Gaming,0,23,7,16,1.875,1,0,1,0,0,0,48888,,28317
4271-5352,Bilibili Gaming,1,38,16,2,27,3,1,4,10,3,13,49515,255,40976
4271-5353,Bilibili Gaming,1,38,15,8,6.625,1,1,2,10,2,12,77916,265,42659
4280-5375,Bilibili Gaming,0,15,8,14,1.642857143,2,0,2,3,0,3,45424,296,35672
4280-5376,Bilibili Gaming,0,44,16,20,3,1,0,1,4,0,4,82746,328,46280
4286-5388,Bilibili Gaming,1,33,14,5,9.4,2,1,3,9,2,11,50972,201,37222
4286-5389,Bilibili Gaming,1,46,18,6,10.66666667,1,1,2,9,2,11,63108,245,40786
4300-5421,Bilibili Gaming,0,35,13,20,2.4,2,0,2,3,0,3,102599,297,45841
4300-5422,Bilibili Gaming,0,13,6,20,0.95,0,1,1,0,0,0,37659,139,23343
4304-5429,Bilibili Gaming,0,26,14,14,2.857142857,2,1,3,9,1,10,67328,326,46479
