gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
ESPORTSTMNT03_2007662,DRX,0,10,4,9,1.555555556,2,0,2,2,0,2,54009,235,31770
ESPORTSTMNT03_1997525,DRX,1,52,21,5,14.6,4,1,5,10,2,12,77160,304,47199
ESPORTSTMNT03_1997535,DRX,0,22,10,24,1.333333333,1,0,1,3,0,3,63547,236,33777
ESPORTSTMNT01_2136300,DRX,1,22,7,2,14.5,1,1,2,10,2,12,43507,214,34212
ESPORTSTMNT01_2136378,DRX,0,14,5,11,1.727272727,1,0,1,2,0,2,35571,221,29356
ESPORTSTMNT01_2136415,DRX,1,43,18,6,10.16666667,3,1,4,11,3,14,65778,312,47044
ESPORTSTMNT01_2148127,DRX,0,23,10,16,2.0625,1,0,1,2,0,2,50246,241,34163
ESPORTSTMNT01_2148163,DRX,0,17,10,26,1.038461538,0,0,0,3,0,3,64798,209,27718
ESPORTSTMNT01_2139212,DRX,0,11,4,9,1.666666667,0,0,0,2,0,2,46415,283,32960
ESPORTSTMNT01_2139225,DRX,0,30,16,24,1.916666667,1,0,1,2,0,2,108248,254,38762
ESPORTSTMNT01_2139470,DRX,0,19,8,23,1.173913043,0,0,0,2,0,2,62744,180,30143
ESPORTSTMNT01_2149659,DRX,1,32,14,8,5.75,4,1,5,8,1,9,53445,280,41171
ESPORTSTMNT01_2149661,DRX,0,12,7,19,1,1,0,1,4,0,4,62950,311,33530
ESPORTSTMNT02_2065870,DRX,0,2,2,24,0.166666667,0,0,0,0,0,0,30104,106,15699
ESPORTSTMNT02_2065926,DRX,0,9,4,20,0.65,0,0,0,3,0,3,46656,142,22629
ESPORTSTMNT02_2067212,DRX,0,13,6,13,1.461538462,2,0,2,2,0,2,49294,250,31702
ESPORTSTMNT02_2067242,DRX,0,27,14,17,2.411764706,2,0,2,3,0,3,61313,183,31398
ESPORTSTMNT02_2067532,DRX,1,29,14,7,6.142857143,3,1,4,9,1,10,65956,303,45322
ESPORTSTMNT02_2067551,DRX,0,10,5,10,1.5,3,1,4,8,2,10,63532,437,53546
ESPORTSTMNT02_2067557,DRX,1,64,27,13,7,4,1,5,9,1,10,74193,267,44449
ESPORTSTMNT03_2054247,DRX,0,20,12,17,1.882352941,2,1,3,6,0,6,69985,342,48029
ESPORTSTMNT03_2054305,DRX,1,32,16,19,2.526315789,2,1,3,8,1,9,71046,299,45382
ESPORTSTMNT03_2054312,DRX,0,16,6,18,1.222222222,1,0,1,1,0,1,30486,189,24492
ESPORTSTMNT03_2055160,DRX,0,28,10,12,3.166666667,3,0,3,4,0,4,46728,277,33326
ESPORTSTMNT03_2055172,DRX,0,10,5,8,1.875,3,1,4,8,1,9,61848,359,42389
ESPORTSTMNT03_2091954,DRX,0,22,10,20,1.6,3,0,3,3,0,3,45078,282,33955
ESPORTSTMNT03_2102050,DRX,0,14,7,19,1.105263158,0,0,0,0,0,0,55858,230,25074
ESPORTSTMNT03/1241386,DRX,0,7,3,21,0.476190476,1,0,1,4,0,4,42830,196,28773
ESPORTSTMNT03/1241394,DRX,0,10,4,19,0.736842105,2,0,2,1,0,1,38541,120,22272
ESPORTSTMNT03/1241396,DRX,0,6,4,14,0.714285714,3,0,3,2,0,2,26658,187,24953
ESPORTSTMNT01/1293929,DRX,0,20,7,16,1.6875,1,0,1,2,0,2,52528,329,31748
ESPORTSTMNT01/1293950,DRX,1,46,20,2,33,4,1,5,11,2,13,69835,303,43518
ESPORTSTMNT01/1293964,DRX,1,37,13,5,10,4,2,6,10,3,13,64842,328,42857
ESPORTSTMNT01/1294710,DRX,0,12,5,13,1.307692308,3,0,3,1,0,1,65070,248,32730
ESPORTSTMNT01/1294725,DRX,1,35,17,9,5.777777778,1,1,2,9,1,10,60073,246,40741
ESPORTSTMNT01/1294738,DRX,1,47,18,8,8.125,3,2,5,10,2,12,85765,474,56408
ESPORTSTMNT01/1305855,DRX,1,20,11,3,10.33333333,3,0,3,8,1,9,43012,205,32103
ESPORTSTMNT01/1305891,DRX,1,58,23,10,8.1,4,1,5,8,1,9,73294,220,39794
ESPORTSTMNT01/1306343,DRX,0,12,4,14,1.142857143,3,0,3,3,0,3,75428,280,34905
ESPORTSTMNT01/1296527,DRX,1,24,11,12,2.916666667,1,1,2,9,1,10,79563,255,40347
ESPORTSTMNT01/1306370,DRX,1,24,8,3,10.66666667,2,1,3,7,1,8,31122,176,29512
ESPORTSTMNT02/1282702,DRX,0,19,6,19,1.315789474,1,0,1,3,0,3,77888,286,32554
ESPORTSTMNT02/1292699,DRX,1,32,15,5,9.4,4,1,5,11,3,14,72022,281,45373
ESPORTSTMNT02/1292716,DRX,0,4,3,14,0.5,2,1,3,5,0,5,63034,287,36190
ESPORTSTMNT02/1293784,DRX,1,31,11,2,21,4,1,5,10,3,13,56866,338,43644
ESPORTSTMNT02/1293792,DRX,0,7,3,19,0.526315789,1,0,1,1,0,1,37161,222,28880
ESPORTSTMNT02/1293807,DRX,0,21,8,26,1.115384615,0,0,0,2,0,2,54367,232,29190
ESPORTSTMNT02/1286608,DRX,1,45,18,2,31.5,4,1,5,9,1,10,57183,203,36446
ESPORTSTMNT02/1286670,DRX,1,65,25,7,12.85714286,2,2,4,10,3,13,68176,221,44163
ESPORTSTMNT02/1287256,DRX,1,28,11,2,19.5,5,2,7,10,3,13,59188,348,46063
ESPORTSTMNT02/1287286,DRX,1,29,12,7,5.857142857,4,0,4,9,1,10,97840,261,35154
ESPORTSTMNT03/1332603,DRX,1,47,18,7,9.285714286,4,1,5,7,1,8,80354,284,40232
ESPORTSTMNT03/1332642,DRX,1,51,21,12,6,5,2,7,10,2,12,69278,297,47883
ESPORTSTMNT01/1325041,DRX,1,45,21,6,11,4,1,5,10,2,12,68372,274,41140
ESPORTSTMNT01/1325066,DRX,0,18,8,9,2.888888889,3,0,3,3,0,3,47754,252,36463
ESPORTSTMNT01/1325077,DRX,0,25,10,15,2.333333333,2,0,2,4,0,4,61227,316,36275
ESPORTSTMNT01/1315397,DRX,0,9,4,11,1.181818182,3,1,4,3,0,3,81046,413,40668
ESPORTSTMNT01/1315424,DRX,0,19,7,16,1.625,1,0,1,3,0,3,62562,244,31718
ESPORTSTMNT04/1140522,DRX,1,51,19,8,8.75,2,1,3,9,2,11,55564,266,36574
ESPORTSTMNT04/1140532,DRX,1,44,22,9,7.333333333,3,0,3,9,1,10,48091,250,37120
ESPORTSTMNT02/1322260,DRX,1,25,9,3,11.33333333,3,0,3,8,1,9,49727,278,35518
ESPORTSTMNT02/1332216,DRX,0,21,7,25,1.12,3,0,3,1,0,1,92678,317,37114
ESPORTSTMNT02/1332241,DRX,1,39,14,2,26.5,2,1,3,8,1,9,58112,174,32432
ESPORTSTMNT02/1332652,DRX,1,36,14,2,25,4,0,4,7,1,8,47704,244,33730
ESPORTSTMNT02/1332694,DRX,1,46,19,3,21.66666667,2,1,3,11,2,13,50881,213,38447
ESPORTSTMNT02/1333463,DRX,1,37,18,4,13.75,4,2,6,9,1,10,58083,322,45025
ESPORTSTMNT02/1333497,DRX,1,43,13,5,11.2,4,1,5,9,2,11,90985,373,48782
ESPORTSTMNT02/1334673,DRX,1,39,17,4,14,3,1,4,10,2,12,49846,277,37841
ESPORTSTMNT02/1334694,DRX,0,11,5,20,0.8,1,0,1,1,0,1,53148,250,33379
ESPORTSTMNT02/1324690,DRX,1,37,15,12,4.333333333,3,1,4,7,1,8,93070,369,51954
ESPORTSTMNT02/1334858,DRX,1,30,15,5,9,3,1,4,11,2,13,69821,187,35403
ESPORTSTMNT02/1334864,DRX,0,6,4,11,0.909090909,0,0,0,1,0,1,46023,230,24049
ESPORTSTMNT02/1334873,DRX,1,35,18,10,5.3,3,0,3,8,1,9,78851,320,46150
ESPORTSTMNT03/1351837,DRX,1,32,17,7,7,3,0,3,8,1,9,51600,193,31617
ESPORTSTMNT03/1351846,DRX,0,13,5,14,1.285714286,2,0,2,0,0,0,42122,199,24479
ESPORTSTMNT03/1351850,DRX,1,72,37,10,10.9,2,1,3,10,1,11,99033,175,39573
ESPORTSTMNT03/1352530,DRX,1,27,14,1,41,4,1,5,9,2,11,67030,287,40315
ESPORTSTMNT03/1352542,DRX,1,49,23,11,6.545454545,3,1,4,10,2,12,82338,361,43225
ESPORTSTMNT03/1352548,DRX,0,20,12,12,2.666666667,3,0,3,2,0,2,81167,364,36688
ESPORTSTMNT03/1352552,DRX,0,25,12,11,3.363636364,3,2,5,6,0,6,79188,381,47944
ESPORTSTMNT03/1352557,DRX,1,44,17,5,12.2,3,1,4,8,1,9,63631,238,38732
ESPORTSTMNT03/1352815,DRX,0,12,6,20,0.9,2,0,2,4,0,4,80272,282,35146
ESPORTSTMNT03/1352835,DRX,0,1,3,15,0.266666667,1,0,1,3,0,3,46662,209,27911
ESPORTSTMNT03/1352838,DRX,1,17,9,3,8.666666667,4,1,5,9,1,10,62397,353,45654
ESPORTSTMNT03/1352840,DRX,0,6,4,16,0.625,1,0,1,0,0,0,43481,228,24623
ESPORTSTMNT03/1382462,DRX,1,34,19,5,10.6,3,1,4,10,1,11,55736,290,42787
ESPORTSTMNT03/1382479,DRX,1,51,15,8,8.25,4,1,5,11,3,14,79503,403,48594
ESPORTSTMNT03/1382494,DRX,0,35,13,14,3.428571429,3,1,4,4,0,4,77397,389,42456
ESPORTSTMNT03/1382505,DRX,0,3,1,6,0.666666667,3,0,3,0,0,0,27384,237,29002
ESPORTSTMNT03/1382513,DRX,0,14,7,18,1.166666667,4,0,4,3,0,3,59906,298,37335
ESPORTSTMNT01/1414831,DRX,1,26,9,5,7,4,0,4,7,1,8,46421,234,34259
ESPORTSTMNT01/1414864,DRX,0,31,12,17,2.529411765,0,2,2,5,0,5,83021,304,44732
ESPORTSTMNT01/1414874,DRX,1,25,10,5,7,4,1,5,11,3,14,57738,318,41505
ESPORTSTMNT01/1415338,DRX,1,44,16,2,30,2,1,3,9,1,10,48741,186,40432
ESPORTSTMNT01/1415378,DRX,0,24,8,14,2.285714286,2,0,2,2,0,2,47264,178,30084
ESPORTSTMNT01/1415382,DRX,1,49,21,10,7,2,3,5,11,3,14,84607,267,50209
ESPORTSTMNT02/1383936,DRX,1,30,10,2,20,4,1,5,8,1,9,80773,251,37132
ESPORTSTMNT02/1383963,DRX,0,6,3,15,0.6,1,0,1,2,0,2,51343,210,28845
ESPORTSTMNT02/1383967,DRX,1,33,12,5,9,2,2,4,9,1,10,67275,297,42723
ESPORTSTMNT02/1385131,DRX,1,50,17,4,16.75,4,1,5,11,3,14,88331,282,43263
ESPORTSTMNT02/1385159,DRX,1,40,14,18,3,2,1,3,9,2,11,91219,257,44246
ESPORTSTMNT02/1395844,DRX,1,34,17,13,3.923076923,3,0,3,7,1,8,70036,286,45471
ESPORTSTMNT02/1395870,DRX,1,34,17,6,8.5,3,1,4,9,1,10,64167,187,35285
ESPORTSTMNT02/1386473,DRX,1,33,14,5,9.4,4,1,5,8,1,9,53635,217,38962
ESPORTSTMNT02/1386488,DRX,1,37,23,7,8.571428571,3,0,3,10,3,13,58080,177,35198
ESPORTSTMNT03/1412957,DRX,0,17,11,20,1.4,2,1,3,5,0,5,57832,276,39654
ESPORTSTMNT03/1412995,DRX,1,27,12,8,4.875,4,1,5,9,1,10,44523,270,40037
ESPORTSTMNT03/1413000,DRX,0,11,4,19,0.789473684,3,0,3,3,0,3,68294,289,34735
ESPORTSTMNT03/1404383,DRX,1,27,10,9,4.111111111,3,1,4,6,1,7,70224,236,39987
ESPORTSTMNT03/1404443,DRX,0,30,13,24,1.791666667,0,0,0,0,0,0,69366,197,28597
ESPORTSTMNT03/1404460,DRX,1,45,22,13,5.153846154,2,1,3,7,1,8,62311,217,39043
ESPORTSTMNT03/1415548,DRX,1,42,15,6,9.5,4,1,5,9,2,11,79991,242,43514
ESPORTSTMNT03/1415585,DRX,1,46,12,8,7.25,1,1,2,8,1,9,45835,190,33558
ESPORTSTMNT03/1415806,DRX,1,41,21,7,8.857142857,2,1,3,8,1,9,84507,231,40788
ESPORTSTMNT03/1415826,DRX,1,44,17,3,20.33333333,3,1,4,10,2,12,62157,218,40443
ESPORTSTMNT01/1433876,DRX,0,3,2,11,0.454545455,1,0,1,2,0,2,41898,155,27712
ESPORTSTMNT01/1433919,DRX,1,38,16,6,9,2,0,2,9,1,10,58666,343,40098
ESPORTSTMNT01/1433923,DRX,1,50,24,12,6.166666667,4,1,5,10,2,12,78730,280,44090
ESPORTSTMNT01/1434821,DRX,1,41,17,14,4.142857143,2,0,2,9,1,10,90169,307,43722
ESPORTSTMNT01/1434854,DRX,0,24,11,13,2.692307692,2,1,3,3,0,3,59856,253,34666
ESPORTSTMNT01/1434878,DRX,1,34,11,5,9,3,1,4,10,2,12,49468,337,48414
ESPORTSTMNT01/1425772,DRX,0,3,3,28,0.214285714,0,0,0,1,0,1,51776,200,23802
ESPORTSTMNT01/1425804,DRX,0,9,4,17,0.764705882,0,0,0,2,0,2,32574,192,28572
ESPORTSTMNT01/1426092,DRX,1,26,15,11,3.727272727,3,2,5,11,5,16,75998,229,46260
ESPORTSTMNT01/1426113,DRX,1,35,13,10,4.8,3,1,4,8,1,9,54675,245,39147
ESPORTSTMNT02/1403890,DRX,1,34,15,6,8.166666667,5,2,7,11,3,14,92617,362,56718
ESPORTSTMNT02/1403916,DRX,1,43,31,7,10.57142857,2,1,3,11,3,14,66268,198,41195
