gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
9292-9292_game_2,LGD Gaming,1,37,16,2,26.5,4,1,5,11,3,14,48051,217,38660
9170-9170_game_1,LGD Gaming Young Team,0,15,6,18,1.166666667,2,2,4,3,0,3,74486,286,34160
9292-9292_game_3,LGD Gaming,0,13,8,14,1.5,2,0,2,2,0,2,81112,273,33789
9170-9170_game_2,LGD Gaming Young Team,0,15,8,21,1.095238095,1,0,1,4,0,4,48495,221,31334
9177-9177_game_1,LGD Gaming Young Team,1,26,10,0,∞,3,1,4,10,2,12,62134,204,36849
9177-9177_game_2,LGD Gaming Young Team,0,26,11,22,1.681818182,4,0,4,4,0,4,94272,319,42980
9177-9177_game_3,LGD Gaming Young Team,1,33,21,5,10.8,1,1,2,10,2,12,56688,150,35828
9301-9301_game_1,LGD Gaming,0,11,5,16,1,0,0,0,0,0,0,36885,135,19052
9301-9301_game_2,LGD Gaming,0,4,1,19,0.263157895,1,0,1,2,0,2,38039,138,19139
9195-9195_game_1,LGD Gaming Young Team,0,6,6,28,0.428571429,0,0,0,2,0,2,40612,154,25527
9195-9195_game_2,LGD Gaming Young Team,1,22,15,12,3.083333333,4,1,5,7,1,8,72309,203,33774
9195-9195_game_3,LGD Gaming Young Team,1,50,21,12,5.916666667,2,1,3,7,1,8,79411,205,38630
9211-9211_game_1,LGD Gaming Young Team,1,47,25,15,4.8,4,0,4,9,1,10,65446,207,40541
9211-9211_game_2,LGD Gaming Young Team,1,64,24,9,9.777777778,3,0,3,8,1,9,76555,314,39795
9313-9313_game_1,LGD Gaming,1,28,10,5,7.6,4,2,6,11,4,15,62541,306,41811
9313-9313_game_2,LGD Gaming,0,8,3,18,0.611111111,0,0,0,2,0,2,48649,213,25140
9313-9313_game_3,LGD Gaming,1,54,20,14,5.285714286,4,3,7,11,6,17,125571,471,58877
9220-9220_game_1,LGD Gaming Young Team,0,10,5,20,0.75,2,0,2,2,0,2,43615,135,20536
9220-9220_game_2,LGD Gaming Young Team,0,32,14,23,2,1,0,1,2,0,2,74137,199,25595
9318-9318_game_1,LGD Gaming,0,4,3,11,0.636363636,0,0,0,3,0,3,41408,190,27438
9318-9318_game_2,LGD Gaming,0,26,12,24,1.583333333,1,0,1,3,0,3,70507,211,34234
9246-9246_game_1,LGD Gaming Young Team,0,0,0,20,0,0,0,0,2,0,2,66622,169,24634
9246-9246_game_2,LGD Gaming Young Team,0,15,6,22,0.954545455,1,0,1,0,0,0,58085,115,19503
9327-9327_game_1,LGD Gaming,1,30,15,4,11.25,2,1,3,11,4,15,77469,282,46935
9327-9327_game_2,LGD Gaming,0,18,8,17,1.529411765,1,0,1,4,0,4,70775,268,37234
9327-9327_game_3,LGD Gaming,0,14,8,15,1.466666667,2,0,2,3,0,3,53275,222,30548
